Date, Time, Relative Time, Platform Temp., Sample Temp., Stage 1 Temp., Stage 2 Temp., User Temp., Compressor Supply, Compressor Return, Compressor State, Compressor Speed, Head Speed, Vacuum Pressure, Units, Stage 1 Heater Set, Stage 1 Heater Watt., Stage 2 Heater Set, Stage 2 Heater Watt., Platform Heater Set, Platform Heater Watt., User Heater Set, User Heater Watt., System State, Manual Mode, PID Temp Control, Compressor Status, Vacuum Pump (On/off), Case Valve (Open/Closed), Vent Valve (Open/Closed), Target Temp., Sample Therm Enabled, Sample Therm Resistance, User Therm Enabled, User Therm Resistance, Stage 1 Therm Resistance, Stage 2 Therm Resistance, Stage 1 Heater Resistance, Stage 2 Heater Resistance, Platform Heater Resistance, Capsule Temp., He Temp., Oil Flow Ratio, Oil Level, Fan Speed, Solenoid Valve State, Oil Temp., Exhaust Temp.
10/19/2016, 5:40:53.922, 17:24:46, 5.111, 5.090, 60.09, 4.82, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3476.77, False, NaN, 10654.96, 2608.91, 104.00, 106.00, 100.00, 49.26, 24.14, 0.76, 54.30, 1, 0, 43.13, 31.98
10/19/2016, 5:41:23.585, 17:25:16, 5.125, 5.159, 60.09, 4.48, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3428.14, False, NaN, 10654.92, 2824.39, 104.00, 106.00, 100.00, 49.40, 24.03, 0.75, 56.30, 1, 0, 43.13, 31.98
10/19/2016, 5:41:53.236, 17:25:45, 5.111, 5.088, 59.85, 4.79, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3486.55, False, NaN, 10658.02, 2621.95, 104.00, 106.00, 100.00, 49.26, 24.14, 0.76, 56.63, 1, 0, 43.13, 31.98
10/19/2016, 5:42:22.884, 17:26:15, 5.065, 5.148, 60.09, 4.49, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3437.44, False, NaN, 10654.95, 2822.36, 104.00, 106.00, 100.00, 49.26, 24.14, 0.76, 56.63, 1, 0, 43.13, 31.98
10/19/2016, 5:42:52.542, 17:26:45, 5.081, 5.094, 60.09, 4.61, 0.000, 2.135, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3481.62, False, NaN, 10654.98, 2739.95, 104.00, 106.00, 100.00, 49.26, 24.14, 0.76, 56.97, 1, 0, 43.13, 31.98
10/19/2016, 5:43:22.200, 17:27:14, 5.104, 5.121, 60.09, 4.63, 0.000, 2.138, 0.754, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3445.97, False, NaN, 10654.97, 2724.76, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 56.97, 1, 0, 43.13, 31.98
10/19/2016, 5:43:51.858, 17:27:44, 5.076, 5.102, 60.09, 4.51, 0.000, 2.138, 0.754, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3475.40, False, NaN, 10654.93, 2809.54, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 56.97, 1, 0, 43.13, 31.98
10/19/2016, 5:44:21.510, 17:28:14, 5.082, 5.117, 60.08, 4.82, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3462.29, False, NaN, 10655.04, 2693.26, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 56.97, 1, 0, 43.13, 31.87
10/19/2016, 5:44:51.166, 17:28:43, 5.102, 5.136, 60.09, 4.48, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3446.89, False, NaN, 10654.97, 2825.76, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 56.97, 1, 0, 43.13, 31.87
10/19/2016, 5:45:20.833, 17:29:13, 5.078, 5.098, 60.09, 4.86, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3478.36, False, NaN, 10657.93, 2580.53, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 57.30, 1, 0, 43.13, 31.98
10/19/2016, 5:45:50.490, 17:29:43, 5.057, 5.154, 60.09, 4.48, 0.000, 2.135, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3440.84, False, NaN, 10654.98, 2825.94, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 59.96, 1, 0, 43.13, 31.87
10/19/2016, 5:46:20.138, 17:30:12, 5.102, 5.083, 60.09, 4.79, 0.000, 2.135, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3484.66, False, NaN, 10654.98, 2625.83, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 60.30, 1, 0, 43.01, 31.87
10/19/2016, 5:46:49.798, 17:30:42, 5.117, 5.152, 60.09, 4.49, 0.000, 2.135, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3433.60, False, NaN, 10654.95, 2832.35, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 60.30, 1, 0, 43.13, 31.98
10/19/2016, 5:47:19.449, 17:31:12, 5.055, 5.084, 60.09, 4.75, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3490.06, False, NaN, 10654.96, 2648.57, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 60.30, 1, 0, 43.13, 31.87
10/19/2016, 5:47:49.107, 17:31:41, 5.059, 5.139, 60.09, 4.50, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3444.05, False, NaN, 10654.91, 2813.58, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 60.30, 1, 0, 43.01, 31.87
10/19/2016, 5:48:18.765, 17:32:11, 5.077, 5.099, 60.09, 4.58, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3477.42, False, NaN, 10654.92, 2762.40, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 60.30, 1, 0, 43.13, 31.98
10/19/2016, 5:48:48.413, 17:32:41, 5.110, 5.118, 60.33, 4.67, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3448.43, False, NaN, 10651.96, 2702.21, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 62.63, 1, 0, 43.13, 31.87
10/19/2016, 5:49:18.076, 17:33:10, 5.081, 5.106, 60.10, 4.49, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3471.55, False, NaN, 10654.86, 2819.41, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 63.30, 1, 0, 43.13, 31.87
10/19/2016, 5:49:47.737, 17:33:40, 5.075, 5.110, 60.09, 4.85, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3468.52, False, NaN, 10654.98, 2681.63, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 63.30, 1, 0, 43.13, 31.87
10/19/2016, 5:50:17.389, 17:34:10, 5.094, 5.134, 60.09, 4.47, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3448.72, False, NaN, 10654.96, 2833.30, 104.00, 106.00, 100.00, 49.26, 24.03, 0.76, 63.30, 1, 0, 43.13, 31.87
10/19/2016, 5:50:47.041, 17:34:39, 5.075, 5.087, 60.08, 4.86, 0.000, 2.138, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3487.47, False, NaN, 10657.97, 2584.22, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 62.96, 1, 0, 43.01, 31.87
10/19/2016, 5:51:16.698, 17:35:09, 5.051, 5.147, 60.09, 4.48, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3443.33, False, NaN, 10654.90, 2832.49, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 62.96, 1, 0, 43.01, 31.87
10/19/2016, 5:51:46.359, 17:35:39, 5.050, 5.083, 60.08, 4.76, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3490.81, False, NaN, 10655.06, 2640.33, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 65.29, 1, 0, 43.01, 31.87
10/19/2016, 5:52:16.018, 17:36:08, 5.110, 5.146, 60.09, 4.49, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3438.69, False, NaN, 10654.95, 2824.47, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 65.29, 1, 0, 43.01, 31.87
10/19/2016, 5:52:45.676, 17:36:38, 5.109, 5.079, 60.09, 4.72, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3494.58, False, NaN, 10654.93, 2667.60, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 65.29, 1, 0, 43.01, 31.87
10/19/2016, 5:53:15.327, 17:37:08, 5.050, 5.130, 60.32, 4.52, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3452.14, False, NaN, 10654.94, 2798.88, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 65.29, 1, 0, 43.01, 31.87
10/19/2016, 5:53:44.986, 17:37:37, 5.067, 5.101, 60.33, 4.55, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3476.20, False, NaN, 10651.91, 2779.73, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 65.29, 1, 0, 42.88, 31.87
10/19/2016, 5:54:14.646, 17:38:07, 5.110, 5.108, 60.32, 4.69, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3457.48, False, NaN, 10652.07, 2683.44, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 65.29, 1, 0, 43.01, 31.87
10/19/2016, 5:54:44.309, 17:38:36, 5.085, 5.133, 60.09, 4.47, 0.000, 2.138, 0.754, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3449.33, False, NaN, 10654.92, 2834.97, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 66.29, 1, 0, 43.01, 31.87
10/19/2016, 5:55:13.961, 17:39:06, 5.067, 5.102, 59.85, 4.86, 0.000, 2.138, 0.754, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3475.01, False, NaN, 10657.92, 2645.98, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 67.63, 1, 0, 43.01, 31.87
10/19/2016, 5:55:43.619, 17:39:36, 5.084, 5.137, 60.10, 4.47, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3445.99, False, NaN, 10654.88, 2837.06, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 67.63, 1, 0, 43.01, 31.87
10/19/2016, 5:56:13.277, 17:40:05, 5.083, 5.079, 59.85, 4.83, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3494.58, False, NaN, 10658.01, 2599.79, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 67.63, 1, 0, 43.01, 31.87
10/19/2016, 5:56:42.935, 17:40:35, 5.050, 5.139, 60.09, 4.46, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3444.62, False, NaN, 10654.94, 2840.78, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 67.63, 1, 0, 43.01, 31.87
10/19/2016, 5:57:12.586, 17:41:05, 5.038, 5.070, 59.85, 4.71, 0.000, 2.135, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3502.47, False, NaN, 10657.94, 2673.11, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 67.63, 1, 0, 43.01, 31.87
10/19/2016, 5:57:42.249, 17:41:34, 5.095, 5.131, 60.09, 4.51, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3451.08, False, NaN, 10654.95, 2841.55, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 67.63, 1, 0, 43.01, 31.87
10/19/2016, 5:58:11.907, 17:42:04, 5.101, 5.072, 60.33, 4.65, 0.000, 2.138, 0.754, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3500.26, False, NaN, 10651.97, 2715.22, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 67.63, 1, 0, 43.01, 31.87
10/19/2016, 5:58:41.559, 17:42:34, 5.035, 5.112, 60.09, 4.57, 0.000, 2.138, 0.754, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3467.10, False, NaN, 10654.96, 2768.10, 104.00, 106.00, 100.00, 49.12, 23.93, 0.76, 69.96, 1, 0, 43.01, 31.87
10/19/2016, 5:59:11.217, 17:43:03, 5.049, 5.100, 60.33, 4.52, 0.000, 2.135, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3476.94, False, NaN, 10652.00, 2803.35, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 69.96, 1, 0, 42.88, 31.87
10/19/2016, 5:59:40.875, 17:43:33, 5.102, 5.092, 60.09, 4.74, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3471.31, False, NaN, 10654.96, 2652.83, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 69.96, 1, 0, 42.88, 31.87
10/19/2016, 6:00:10.534, 17:44:03, 5.083, 5.110, 60.09, 4.46, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3468.50, False, NaN, 10654.93, 2842.16, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 69.96, 1, 0, 43.01, 31.87
10/19/2016, 6:00:40.186, 17:44:32, 5.095, 5.084, 59.85, 4.82, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3490.54, False, NaN, 10658.01, 2604.61, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 69.63, 1, 0, 43.01, 31.87
10/19/2016, 6:01:09.844, 17:45:02, 5.072, 5.138, 60.08, 4.47, 0.000, 2.135, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3445.55, False, NaN, 10655.01, 2837.65, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 69.29, 1, 0, 43.01, 31.87
10/19/2016, 6:01:39.501, 17:45:32, 5.092, 5.073, 59.85, 4.79, 0.000, 2.135, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3499.37, False, NaN, 10655.05, 2622.90, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 69.29, 1, 0, 43.01, 31.87
10/19/2016, 6:02:09.160, 17:46:01, 5.060, 5.136, 60.08, 4.47, 0.000, 2.132, 0.741, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3442.32, False, NaN, 10655.02, 2835.83, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 71.29, 1, 0, 43.01, 31.87
10/19/2016, 6:02:38.816, 17:46:31, 5.043, 5.073, 60.09, 4.64, 0.000, 2.132, 0.741, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3499.69, False, NaN, 10654.89, 2718.81, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 72.29, 1, 0, 43.01, 31.87
10/19/2016, 6:03:08.474, 17:47:01, 5.099, 5.135, 60.09, 4.58, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3447.40, False, NaN, 10654.97, 2829.23, 104.00, 106.00, 100.00, 49.26, 23.93, 0.75, 72.29, 1, 0, 43.01, 31.87
